PLAYER,TEAM,DFGM,DFGA,DFG%,FG%,MIN,SCREEN ASSISTS,SCREEN ASSISTS PTS,DEFLECTIONS,OFF LOOSE BALLS RECOVERED,DEF LOOSE BALLS RECOVERED,LOOSE BALLS RECOVERED,RECOVERED OFF,RECOVERED DEF,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3PT SHOTS,TOTAL CONTESTED SHOTS,DIST. FEET,FEET PER MIN,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Mark Williams,CHA,5.6,11.7,47.6,50,19.3,2.7,6.1,1.2,0.2,0.3,0.5,31.8,68.2,0,4.8,1.9,6.7,7582.1,392.85,1.44,0.74,0.7,4.18,4.41,3.97
Tre Jones,SAS,6,11.7,51.2,47.3,29.2,0.3,0.6,2.6,0.3,0.4,0.7,39.6,60.4,0.15,2.2,1.7,3.9,12289.9,420.89,2.33,1.27,1.05,4.49,4.92,4.05
Jordan Clarkson,UTA,5.5,11.7,47.2,46.9,32.6,0.4,0.9,1.4,0.4,0.3,0.7,55,45,0,2.2,1.9,4.1,13008.6,399.04,2.46,1.39,1.08,4.22,4.65,3.77
Jaden Ivey,DET,5.9,11.7,50.5,46.8,31.1,0.1,0.3,1.5,0.5,0.2,0.7,64.7,35.3,0.01,1.7,2.1,3.9,12415.1,399.20,2.35,1.29,1.06,4.24,4.6,3.86
Tim Hardaway Jr.,DAL,5.5,11.7,47.3,46.9,30.3,0.5,1.2,1,0.2,0.2,0.3,50,50,0.3,2.2,1.7,3.9,11220,370.30,2.12,1.16,0.97,3.94,4.18,3.67
Ja Morant,MEM,5.1,11.6,43.5,46.8,31.9,0.1,0.3,1.8,0.4,0.5,0.9,45.5,54.5,0.08,1.4,1.7,3.1,12254.7,384.16,2.32,1.25,1.07,4.05,4.44,3.67
Mitchell Robinson,NYK,5.3,11.6,45.3,49.5,26.9,2.6,5.7,1.8,0.4,0.2,0.6,61.8,38.2,0,6.8,2,8.8,10045.6,373.44,1.9,1,0.9,3.98,4.04,3.92
Quentin Grimes,NYK,5.5,11.6,47.7,46.8,29.9,0.2,0.4,1.4,0.2,0.3,0.5,44.7,55.3,0.01,2.6,2.4,5,11354.3,379.74,2.15,1.15,1,4.03,4.16,3.9
Mike Conley,MIN,5.6,11.6,48.7,46.9,30.3,0.4,1,1.8,0.3,0.3,0.6,50,50,0.06,1.9,1.3,3.2,11917.6,393.32,2.26,1.24,1.01,4.15,4.48,3.82
Aleksej Pokusevski,OKC,5.5,11.6,47.6,49.2,20.6,1.3,2.9,1.2,0.3,0.1,0.4,64.3,35.7,0,5.6,1.4,7,8333.6,404.54,1.58,0.88,0.7,4.32,4.96,3.72
Killian Hayes,DET,5.8,11.5,50.1,46.9,28.3,0.1,0.3,2.8,0.2,0.4,0.6,33.3,66.7,0.11,2.6,2,4.6,10907.1,385.41,2.07,1.13,0.94,4.11,4.42,3.79
Desmond Bane,MEM,5,11.5,43.3,45.8,31.7,0.4,0.9,1.8,0.2,0.3,0.5,42.9,57.1,0,2.1,2.8,5,12620.3,398.12,2.39,1.3,1.09,4.2,4.67,3.76
Skylar Mays,POR,6.3,11.5,55.1,48.1,31.5,0.2,0.3,1.3,0.5,0.3,0.8,60,40,0,1.5,2.3,3.8,12713.8,403.61,2.41,1.32,1.09,4.09,4.48,3.69
Jalen Green,HOU,5.5,11.5,47.9,46.5,34.2,0.1,0.2,1.2,0.3,0.3,0.6,56.8,43.2,0,1.5,2.4,3.8,13635.9,398.71,2.58,1.47,1.11,4.23,4.66,3.76
Stephen Curry,GSW,5.5,11.5,47.9,46.5,34.7,0.9,2.2,1.8,0.5,0.4,0.9,53.1,46.9,0.16,2.3,2.5,4.7,13830.3,398.57,2.62,1.48,1.14,4.22,4.91,3.57
O.G. Anunoby,TOR,5.3,11.5,46,48.5,35.6,0.3,0.8,3.6,0.4,0.5,0.9,48.3,51.7,0.13,4,2.5,6.5,13461.8,378.14,2.55,1.31,1.24,4.01,4.16,3.87
Jeremy Sochan,SAS,5.8,11.4,50.5,47.9,26,0.6,1.3,1.6,0.2,0.2,0.4,47.8,52.2,0.05,3.3,2.5,5.9,10875.2,418.28,2.06,1.12,0.94,4.45,4.9,4.02
Trey Murphy III,NOP,5.7,11.4,50.2,47.1,31,0.3,0.7,1.8,0.2,0.2,0.3,48.1,51.9,0,3,2.2,5.2,12216.3,394.07,2.31,1.19,1.12,4.19,4.38,4.02
Andrew Nembhard,IND,5.4,11.4,47.4,46.7,27.6,0.2,0.5,1.8,0.2,0.3,0.6,42.9,57.1,0.2,2.1,1.5,3.6,11239.1,407.21,2.13,1.11,1.02,4.31,4.63,4
Bradley Beal,WAS,5.1,11.4,44.4,46.7,33.5,0.4,0.8,1.9,0.3,0.2,0.4,59.1,40.9,0.08,2.1,2.4,4.4,12923.5,385.78,2.45,1.39,1.05,4.1,4.47,3.7
Franz Wagner,ORL,5.6,11.4,49.2,47.4,32.6,0.4,0.9,2,0.2,0.3,0.5,40.5,59.5,0.03,2.9,2.8,5.7,13740.3,421.48,2.6,1.42,1.19,4.47,4.97,3.99
LeBron James,LAL,5.2,11.4,46,48.3,35.5,0.7,1.6,1.8,0.3,0.3,0.6,42.4,57.6,0.15,2.3,1.8,4,12370.3,348.46,2.34,1.27,1.07,3.71,4.07,3.36
Santi Aldama,MEM,5.5,11.4,48.2,47.7,21.8,0.6,1.5,0.9,0.2,0.1,0.2,66.7,33.3,0.04,4.3,2.3,6.5,9062.8,415.72,1.72,0.91,0.81,4.39,4.66,4.13
Max Strus,MIA,5.7,11.4,49.8,46.5,28.4,0.4,0.9,1.1,0.1,0.2,0.3,35.7,64.3,0.11,2,2.8,4.8,11662.2,410.64,2.21,1.26,0.95,4.35,4.9,3.79
Keldon Johnson,SAS,6,11.4,52.4,48.2,32.8,0.3,0.7,1.6,0.4,0.1,0.5,73.5,26.5,0,2.2,2.2,4.4,12971.6,395.48,2.46,1.36,1.1,4.21,4.69,3.73
Troy Brown Jr.,LAL,5.6,11.3,49.2,47,24.5,0.2,0.4,1.3,0.2,0.2,0.4,58.6,41.4,0.01,2.5,2.2,4.7,9895.1,403.88,1.87,0.98,0.89,4.32,4.55,4.09
Marvin Bagley III,DET,5.6,11.3,49.3,49.5,23.6,2.2,5.2,0.9,0.3,0.1,0.5,73.7,26.3,0.05,4.6,2.4,7,9383.1,397.59,1.78,0.95,0.83,4.27,4.43,4.09
Jerami Grant,POR,5.3,11.3,46.6,48,35.6,0.7,1.8,1.4,0.3,0.1,0.3,80,20,0.13,3,1.9,4.9,13548.7,380.58,2.57,1.38,1.19,4.03,4.26,3.8
Brandon Ingram,NOP,5.2,11.2,46,47.6,34.2,0.7,1.5,1.7,0.3,0.2,0.5,57.1,42.9,0.04,2.9,3,5.9,12441.6,363.79,2.36,1.3,1.05,3.86,4.3,3.42
Donte DiVincenzo,GSW,5.5,11.2,49.3,46.4,26.3,0.4,1,2.5,0.3,0.3,0.6,55.8,44.2,0,1.8,2.1,3.8,10659.4,405.30,2.02,1.1,0.92,4.29,4.75,3.86
D'Angelo Russell,LAL,5.2,11.2,46.2,46,32.5,0.3,0.6,2.2,0.3,0.2,0.5,57.9,42.1,0.03,1.6,2.2,3.8,12485.7,384.18,2.36,1.3,1.06,4.09,4.61,3.6
Bojan Bogdanovic,DET,5.6,11.2,50.3,47.5,32.1,0.4,0.9,0.9,0.3,0.2,0.5,60.7,39.3,0,2.6,2.1,4.7,12375.1,385.52,2.34,1.29,1.06,4.1,4.47,3.74
