PLAYER,TEAM,DFGM,DFGA,DFG%,FG%,MIN,SCREEN ASSISTS,SCREEN ASSISTS PTS,DEFLECTIONS,OFF LOOSE BALLS RECOVERED,DEF LOOSE BALLS RECOVERED,LOOSE BALLS RECOVERED,RECOVERED OFF,RECOVERED DEF,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3PT SHOTS,TOTAL CONTESTED SHOTS,DIST. FEET,FEET PER MIN,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Mike Muscala,BOS,3.6,7.7,47.7,48.9,15,0.9,1.9,0.5,0.2,0.1,0.3,64.7,35.3,0,3.5,1.5,5,6273.9,418.26,1.19,0.65,0.53,4.42,4.92,3.91
Terrence Ross,PHX,3.8,7.6,49.7,46.5,21.1,0.2,0.3,1.1,0.1,0.2,0.3,31.3,68.8,0.02,1.1,1.7,2.9,8322.5,394.43,1.58,0.86,0.72,4.19,4.5,3.86
Malik Monk,SAC,3.7,7.6,48.1,46.2,22.3,0.3,0.7,1.2,0.3,0.1,0.4,67.9,32.1,0.01,1.7,1.3,3,9091.6,407.70,1.72,0.93,0.79,4.28,4.82,3.76
Collin Sexton,UTA,3.5,7.6,45.4,46.5,23.9,0.3,0.8,0.9,0.3,0.1,0.4,73.7,26.3,0.02,1.5,1.2,2.6,9063.3,379.22,1.72,0.93,0.78,3.99,4.29,3.69
Chris Boucher,TOR,3.5,7.6,46.2,47.4,20,0.5,1.2,1,0.2,0.2,0.4,48.1,51.9,0.13,3,1.7,4.6,8085.4,404.27,1.53,0.81,0.72,4.26,4.46,4.05
Shaquille Harrison,LAL,3.8,7.6,50,48.4,24,0,0,3.2,0,0.8,0.8,0,100,0,1.8,1,2.8,10409.5,433.73,1.97,1.08,0.89,4.59,4.95,4.23
Robert Covington,LAC,3.5,7.6,45.9,46.8,16.2,0.6,1.3,2.4,0.1,0.2,0.3,40,60,0,1.7,1.7,3.4,6102.7,376.71,1.16,0.62,0.53,3.93,4.24,3.62
Theo Maledon,CHA,3.9,7.6,51.8,46.4,19.4,0.2,0.4,1.5,0.1,0.3,0.4,29.4,70.6,0.02,1.8,1.5,3.3,8028.1,413.82,1.52,0.84,0.68,4.36,4.8,3.91
Nerlens Noel,BKN,3.9,7.6,50.9,50.7,11.5,2.2,5.1,1.9,0.1,0.3,0.4,28.6,71.4,0.24,2.1,0.7,2.8,4443.7,386.41,0.84,0.44,0.4,4.07,4.4,3.75
Cody Zeller,MIA,4.5,7.5,60.2,51.3,14.4,2,4.8,0.5,0.1,0.1,0.1,50,50,0,3.2,0.7,3.9,5798.5,402.67,1.1,0.61,0.49,4.26,4.61,3.89
Taurean Prince,MIN,3.5,7.5,46.5,46.7,22.1,0.1,0.3,1.4,0.1,0.2,0.4,40,60,0.19,1.5,1.3,2.8,8569.4,387.76,1.62,0.85,0.77,4.09,4.38,3.82
Isaiah Joe,OKC,3.5,7.5,47.3,46.2,19.1,0.3,0.7,1.1,0.2,0.3,0.5,36.8,63.2,0.27,1.3,1.4,2.7,7912.1,414.25,1.5,0.81,0.69,4.36,4.78,3.96
Georges Niang,PHI,3.5,7.4,47.2,46.7,19.4,0.7,1.6,0.6,0.1,0.2,0.3,40,60,0.12,1.7,1.6,3.3,7679.9,395.87,1.45,0.79,0.66,4.19,4.54,3.84
Alec Burks,DET,3.6,7.4,48.4,46.8,22,0.2,0.4,1.2,0.3,0.3,0.6,46.4,53.6,0.06,1.4,1.6,3,8408.5,382.20,1.59,0.84,0.76,4.04,4.26,3.83
Eric Gordon,LAC,3.6,7.4,49,46.8,28.5,0.3,0.8,1.4,0.2,0.1,0.3,56.5,43.5,0,0.7,1.1,1.9,9805.1,344.04,1.86,1.01,0.85,3.64,3.88,3.4
Jordan Nwora,IND,3.9,7.4,53.2,46.3,19.2,0.1,0.2,0.8,0.2,0.2,0.4,51.9,48.1,0,1.4,1.5,3,7885.2,410.69,1.49,0.8,0.69,4.36,4.68,4.04
Jericho Sims,NYK,3.7,7.3,50.5,50.4,15.6,1.7,3.9,0.3,0.3,0.2,0.4,56.5,43.5,0,4.2,0.9,5.1,6224.9,399.03,1.18,0.64,0.54,4.24,4.48,4
Joe Harris,BKN,3.3,7.3,45.8,46.9,20.6,0.3,0.7,0.7,0.2,0.2,0.4,41.9,58.1,0,2.4,1.5,3.9,8273.1,401.61,1.57,0.87,0.7,4.28,4.82,3.76
Davion Mitchell,SAC,3.5,7.3,47.8,46.1,18.1,0.1,0.2,0.9,0.1,0.2,0.3,34.8,65.2,0.19,1.4,1.4,2.8,7544.7,416.83,1.43,0.75,0.67,4.43,4.78,4.09
Otto Porter Jr.,TOR,3.5,7.3,48.3,46.6,18.3,0.3,0.6,1.9,0.3,0,0.3,100,0,0.13,0.8,0.9,1.6,7313.4,399.64,1.39,0.74,0.65,4.24,4.52,3.96
Isaac Okoro,CLE,3.5,7.3,47.9,46.6,21.7,0.2,0.4,1.4,0.2,0.2,0.4,51.5,48.5,0,2.5,1.1,3.6,8419.9,388.01,1.59,0.78,0.82,4.11,4,4.22
Quenton Jackson,WAS,3.9,7.3,53.4,46,15,0,0,0.8,0,0.2,0.2,0,100,0,0.3,0.6,0.9,6311.6,420.77,1.2,0.65,0.54,4.43,4.83,4.02
Jevon Carter,MIL,3.2,7.2,44.6,46.1,22.4,0.1,0.3,1.6,0.3,0.3,0.5,50,50,0,1.1,1.1,2.2,9096.6,406.10,1.72,0.88,0.84,4.32,4.45,4.2
Daniel Theis,IND,4,7.1,56,50.7,15.5,1.9,4,0.6,0,0,0,0,0,0,3.4,1,4.4,5761.1,371.68,1.09,0.57,0.52,3.94,4.11,3.77
Doug McDermott,SAS,3.5,7.1,49.3,46.4,20.5,0.3,0.5,0.3,0.1,0.2,0.3,45,55,0,1.6,1.2,2.8,8866.2,432.50,1.68,0.97,0.71,4.55,5.23,3.87
Willy Hernangomez,NOP,3.9,7.1,55.2,49.9,12,1.7,4,0.9,0.1,0.2,0.3,40,60,0.03,2.1,0.8,2.9,4839.5,403.29,0.92,0.49,0.43,4.24,4.5,3.98
Usman Garuba,HOU,3.4,7.1,48.3,48,12.9,1.3,3,0.9,0.2,0.1,0.3,62.5,37.5,0.04,2.5,1.5,4,4969.8,385.26,0.94,0.49,0.45,4.04,4.13,3.94
Nickeil Alexander-Walker,MIN,3.1,7,44.2,46.3,15,0.2,0.5,1.3,0.1,0.2,0.3,41.2,58.8,0.05,1.4,0.7,2,6384.3,425.62,1.21,0.66,0.55,4.49,4.88,4.1
Max Christie,LAL,3.1,7,44.4,46.3,12.5,0,0.1,0.5,0.1,0.1,0.1,50,50,0,1.7,1.4,3.1,5208.7,416.70,0.99,0.52,0.46,4.41,4.7,4.14
Christian Braun,DEN,3.3,7,46.9,47,15.5,0.1,0.2,0.7,0.1,0,0.1,66.7,33.3,0.03,1.9,1.3,3.1,6402.7,413.08,1.21,0.64,0.57,4.36,4.58,4.12
Christian Koloko,TOR,3.4,7,47.9,49.4,13.8,1.7,3.9,0.7,0.1,0.2,0.2,35.7,64.3,0,4.3,1.1,5.3,5626.2,407.70,1.07,0.55,0.51,4.3,4.51,4.11
Lindell Wigginton,MIL,3.5,7,50,41.6,12.4,0.1,0.4,0.6,0,0,0,0,0,0,0.6,0.7,1.3,4831.6,389.65,0.92,0.49,0.42,4.11,4.24,4.09
Austin Rivers,MIN,3.6,7,52.1,46.1,19.5,0.2,0.4,0.9,0.1,0.1,0.2,30,70,0.02,1.3,0.8,2.1,7451.3,382.12,1.41,0.72,0.69,4.03,4.17,3.9
Jay Scrubb,ORL,3,7,42.9,42.3,15.1,0,0,1.5,0,0.5,0.5,0,100,0,0.5,1,1.5,6174.5,408.91,1.17,0.66,0.5,4.22,4.52,3.89
Tre Mann,OKC,3.3,7,46.9,45.5,17.7,0.3,0.6,1.2,0.1,0.2,0.3,42.9,57.1,0.07,1.2,1.4,2.5,7155.5,404.27,1.36,0.73,0.62,4.3,4.65,3.95
Seth Curry,BKN,3.4,7,48.6,46.3,19.8,0.3,0.6,1.2,0.2,0.1,0.4,59.1,40.9,0,0.8,1.1,1.9,7452,376.36,1.41,0.76,0.65,3.97,4.26,3.68
Nassir Little,POR,3.4,7,49.5,47,18.1,0.1,0.3,0.5,0.1,0.2,0.3,41.2,58.8,0.02,1.9,1.6,3.5,7166.2,395.92,1.36,0.74,0.62,4.18,4.44,3.92
George Hill,IND,2.9,6.9,41.7,45.6,18.1,0.1,0.3,1,0,0.3,0.3,6.3,93.8,0,1.5,1.1,2.5,7022.3,387.97,1.33,0.72,0.61,4.1,4.35,3.84
Xavier Cooks,WAS,3.4,6.9,50,49.9,12.6,1.2,2.5,1.2,0.2,0.1,0.3,66.7,33.3,0,2,1.2,3.2,5162.3,409.71,0.98,0.52,0.45,4.31,4.65,3.89
JT Thor,CHA,3.4,6.9,48.8,47.6,14,0.4,0.9,0.5,0.1,0.1,0.1,44.4,55.6,0,2.3,1.2,3.5,5825.3,416.09,1.1,0.6,0.5,4.41,4.81,4.01
Tyus Jones,MEM,3.4,6.9,49,45.5,24.2,0.2,0.4,1.5,0.1,0.1,0.2,41.2,58.8,0.04,0.4,1.2,1.6,9876.3,408.11,1.87,1.02,0.86,4.31,4.7,3.93
Day'Ron Sharpe,BKN,3.4,6.8,48.9,48.9,11.5,2,4.7,0.6,0.1,0.1,0.3,53.8,46.2,0,3.2,1.1,4.3,4655.1,404.79,0.88,0.47,0.41,4.26,4.53,3.98
Olivier Sarr,OKC,3,6.8,43.9,47.2,12.6,2,4.2,0.2,0.2,0,0.2,100,0,0,3.8,0.8,4.6,5147.4,408.52,0.97,0.54,0.44,4.32,4.66,3.88
Trey Lyles,SAC,3.4,6.8,49.1,47.4,16.9,0.3,0.7,0.8,0.1,0.1,0.3,42.1,57.9,0.14,2.1,1.6,3.7,6970.3,412.44,1.32,0.69,0.63,4.34,4.68,4.01
Serge Ibaka,MIL,3.6,6.8,53.2,48.3,11.6,0.8,1.9,0.1,0,0.1,0.1,0,100,0,3.9,0.9,4.9,4277.7,368.77,0.81,0.45,0.36,3.9,4.03,3.69
Javonte Green,CHI,2.8,6.8,41.3,46.8,15,0.5,1,2.1,0.2,0.2,0.3,45.5,54.5,0.03,1.8,1.3,3.1,6216,414.40,1.18,0.6,0.57,4.36,4.68,4.07
Devonte' Graham,SAS,3.3,6.8,49.3,46.7,18.3,0.2,0.5,1.1,0.1,0.2,0.3,38.1,61.9,0.12,0.6,1,1.6,7211.4,394.07,1.37,0.76,0.61,4.17,4.59,3.74
Cam Thomas,BKN,3.1,6.8,46.6,46.7,16.6,0.2,0.4,0.5,0.2,0.1,0.3,58.8,41.2,0,1.3,1.2,2.4,6523,392.95,1.24,0.68,0.55,4.18,4.58,3.79
Damian Jones,UTA,2.9,6.7,42.4,48.2,11.6,1.5,3.4,0.4,0.1,0.1,0.2,50,50,0.02,2.9,1.2,4.1,4592.5,395.91,0.87,0.45,0.42,4.15,4.42,3.9
Paul Reed,PHI,3.3,6.7,49.3,48.1,10.9,1.2,3,1.1,0.2,0.2,0.4,53.6,46.4,0.01,3.2,1.1,4.3,4537.5,416.28,0.86,0.46,0.4,4.37,4.62,4.12
Juan Toscano-Anderson,UTA,3.3,6.7,48.9,47.6,13.5,0.5,1.2,1.1,0.2,0,0.2,83.3,16.7,0.1,1.6,1,2.6,5662.9,419.47,1.07,0.58,0.5,4.44,4.86,4.02
Andre Drummond,CHI,3.4,6.7,50.3,50.7,12.7,1.6,3.4,1.2,0.2,0.2,0.3,50,50,0.03,2.8,1,3.8,4842.6,381.31,0.92,0.46,0.46,4.03,4.2,3.88
Saben Lee,PHX,3.1,6.7,46.6,46.6,14.9,0,0.1,1.2,0.1,0.1,0.2,50,50,0.04,0.8,0.9,1.7,6189.3,415.39,1.17,0.63,0.54,4.35,4.61,4.08
Montrezl Harrell,PHI,3.2,6.7,48.2,49.1,11.9,1.5,3.4,0.6,0.1,0.1,0.2,70,30,0.21,3,1,4,4423.3,371.71,0.84,0.45,0.39,3.92,4.15,3.69
Svi Mykhailiuk,CHA,3.3,6.7,48.8,46,14.6,0,0.1,0.8,0.2,0.3,0.5,33.3,66.7,0,1.3,1.1,2.3,5923.2,405.70,1.12,0.6,0.52,4.27,4.61,3.94
Romeo Langford,SAS,3.3,6.7,48.7,46.4,19.6,0.2,0.5,1.1,0.2,0.2,0.4,52.6,47.4,0.07,1.8,0.9,2.7,8271.1,421.99,1.57,0.81,0.75,4.45,4.67,4.24
Jared Butler,OKC,3,6.7,45,42.5,12.8,0,0,0.8,0,0.3,0.3,0,100,0.17,0.2,1,1.2,4947.7,386.54,0.94,0.54,0.4,4.08,4.47,3.67
Gabe York,IND,3.7,6.7,55,44.6,18.6,0,0,2.7,0.7,0.3,1,66.7,33.3,0.33,0.7,0.3,1,7490.3,402.70,1.42,0.73,0.69,4.29,4.88,3.81
James Bouknight,CHA,2.8,6.7,42.7,45.5,15.2,0,0.1,0.5,0.1,0.2,0.2,25,75,0,1.2,1.2,2.4,6142.3,404.10,1.16,0.65,0.51,4.31,4.82,3.8
Joe Ingles,MIL,3.2,6.6,47.9,46.1,22.7,0.1,0.3,1.7,0.1,0.1,0.3,50,50,0,0.9,1.4,2.3,8700.6,383.29,1.65,0.87,0.77,4.06,4.32,3.8
T.J. McConnell,IND,3,6.6,45.2,46.8,20.4,0,0.1,2.2,0.3,0.5,0.8,40,60,0.12,0.9,1.1,2,8888.5,435.71,1.68,0.9,0.78,4.6,5.02,4.2
Sam Hauser,BOS,3,6.6,46.3,46.1,16.1,0.4,0.9,0.8,0.2,0.2,0.3,50,50,0.01,2.3,0.8,3.1,6940.2,431.07,1.31,0.73,0.58,4.56,5,4.1
Zeke Nnaji,DEN,3.1,6.5,46.8,48.6,13.7,1.1,2.5,0.6,0.1,0.1,0.2,70,30,0,2.7,1.1,3.8,5437.5,396.90,1.03,0.55,0.48,4.11,4.28,3.92
Thaddeus Young,TOR,3.7,6.5,56.6,49.1,14.7,1.3,2.8,2,0.3,0.2,0.5,56,44,0.11,1.9,1.4,3.3,5784.1,393.48,1.1,0.59,0.51,4.15,4.34,3.94
Jalen Johnson,ATL,3.1,6.5,46.8,47.9,14.9,0.7,1.6,1.3,0,0.2,0.2,14.3,85.7,0.03,1.8,1.2,3,6101.4,409.49,1.16,0.61,0.54,4.33,4.68,3.99
Juancho Hernangomez,TOR,3.5,6.5,52.9,47.9,14.6,0.2,0.5,0.8,0.2,0.1,0.3,64.3,35.7,0,1.5,1,2.5,6144.1,420.83,1.16,0.61,0.55,4.46,4.63,4.28
Hamidou Diallo,DET,2.9,6.5,44.2,47.4,17.8,0.4,1,1.9,0.4,0.2,0.6,68.8,31.3,0.02,1.6,1.2,2.8,7246.6,407.11,1.37,0.75,0.63,4.33,4.74,3.92
Andre Iguodala,GSW,3,6.4,47.1,45.6,14.1,1,2.6,1.3,0.1,0,0.1,100,0,0,1.4,1.4,2.8,5315.9,377.01,1.01,0.56,0.45,4.15,4.66,3.65
R.J. Hampton,DET,3.2,6.4,50,47.3,15.9,0.1,0.1,1.2,0.1,0.2,0.3,46.7,53.3,0,1,1,2,6605.6,415.45,1.25,0.68,0.57,4.37,4.64,4.09
Orlando Robinson,MIA,3.5,6.3,54.7,49.7,13.7,1.9,4.3,0.7,0.1,0.1,0.2,60,40,0,2.8,0.8,3.7,5449.4,397.77,1.03,0.55,0.48,4.22,4.28,4.15
DeAndre Jordan,DEN,3.2,6.3,50.2,51.2,15,2,4.5,0.6,0.1,0.1,0.1,40,60,0,2.9,0.6,3.4,5034.2,335.61,0.95,0.51,0.45,3.57,3.7,3.42
Chimezie Metu,SAC,3.2,6.3,50.4,48,10.4,0.9,2.1,0.7,0.1,0.1,0.2,61.5,38.5,0,2.3,1,3.4,4219.2,405.69,0.8,0.41,0.39,4.22,4.53,3.95
McKinley Wright IV,DAL,2.9,6.3,46.2,46.2,12.4,0.1,0.3,0.5,0.2,0.1,0.4,60,40,0.04,1.2,0.7,1.9,5109.9,412.09,0.97,0.51,0.46,4.37,4.65,4.09
Shake Milton,PHI,3.1,6.3,49,46.2,20.6,0.2,0.4,0.9,0.3,0.2,0.4,57.6,42.4,0.01,1.1,1.2,2.3,8028.2,389.72,1.52,0.82,0.7,4.11,4.41,3.8
Justin Holiday,DAL,3.1,6.3,49.3,46.9,15.4,0.2,0.5,0.9,0,0.2,0.2,18.2,81.8,0,1.5,1.2,2.7,6272.6,407.31,1.19,0.64,0.55,4.29,4.67,3.93
Evan Fournier,NYK,3.1,6.3,50,45.8,17,0.1,0.2,1,0,0,0.1,50,50,0,0.8,1.2,2.1,6881.8,404.81,1.3,0.7,0.6,4.3,4.59,4.01
Matisse Thybulle,POR,2.9,6.2,46.7,46.7,16.9,0.3,0.6,2.1,0.1,0.2,0.3,31.6,68.4,0.03,0.9,1,1.9,6735.4,398.54,1.28,0.64,0.63,4.23,4.29,4.18
Blake Wesley,SAS,3,6.2,47.8,45.8,18.1,0,0.1,1.4,0.1,0.1,0.2,50,50,0.03,0.7,1.1,1.8,7741.1,427.69,1.47,0.81,0.66,4.55,4.98,4.11
Gary Payton II,GSW,3.4,6.1,55.6,47.2,16.7,0.5,1.2,2,0.3,0.3,0.6,50,50,0,1.3,1.2,2.5,7042.3,421.69,1.33,0.67,0.67,4.45,4.45,4.47
Dario Saric,OKC,3.1,6.1,50.9,48.4,14.1,0.8,1.7,0.7,0.1,0.1,0.3,53.3,46.7,0.02,2.4,0.8,3.2,5678.7,402.74,1.08,0.58,0.49,4.24,4.55,3.93
Cameron Payne,PHX,2.9,6.1,48.1,46.2,20.2,0,0.1,1.6,0.2,0.1,0.3,62.5,37.5,0.08,0.8,1.2,2,7864.5,389.33,1.49,0.84,0.65,4.14,4.64,3.63
Kendrick Nunn,WAS,3.2,6.1,52.1,46.3,13.8,0.1,0.2,0.8,0.1,0.1,0.2,40,60,0.01,0.7,1.2,2,5444.9,394.56,1.03,0.56,0.47,4.2,4.51,3.88
Rodney McGruder,DET,3,6,49.4,46.7,16.4,0.2,0.5,1.1,0.1,0.2,0.3,33.3,66.7,0.03,1.2,0.8,1.9,6890.5,420.15,1.31,0.7,0.61,4.48,4.8,4.16
Jaxson Hayes,NOP,2.7,6,45.2,47.1,13,0.6,1.3,0.7,0.1,0.1,0.2,50,50,0.02,1.7,1.5,3.2,5018.9,386.07,0.95,0.5,0.45,4.09,4.34,3.85
Isaiah Todd,WAS,2.3,6,38.9,47.1,10.2,0.2,0.5,0.7,0.2,0,0.2,100,0,0,1.3,0.7,2,4275,419.12,0.81,0.46,0.35,4.48,4.73,4.01
Jaylen Nowell,MIN,3.3,6,54.6,46.9,19.3,0,0.1,1.3,0.1,0.1,0.3,47.1,52.9,0,1,0.9,1.9,7888.9,408.75,1.49,0.78,0.71,4.32,4.63,4.02
Miles McBride,NYK,2.7,6,45,45.6,11.9,0.1,0.2,0.9,0.2,0.1,0.3,58.8,41.2,0.03,1.3,1.1,2.3,4898.4,411.63,0.93,0.49,0.44,4.34,4.49,4.2
T.J. Warren,PHX,3,6,49.4,47.8,16.4,0.2,0.5,0.9,0.2,0.2,0.3,50,50,0,0.7,0.9,1.6,6560.9,400.05,1.24,0.64,0.6,4.24,4.35,4.13
Frank Ntilikina,DAL,2.6,6,44.1,46.4,12.9,0.2,0.6,0.6,0.1,0.1,0.1,42.9,57.1,0.04,1.4,1,2.4,4964.3,384.83,0.94,0.49,0.45,4.07,4.29,3.85
Bryce McGowens,CHA,2.9,6,47.8,45.6,17.1,0,0,0.6,0.1,0.2,0.3,33.3,66.7,0.04,0.8,1.1,1.9,6879.1,402.29,1.3,0.69,0.61,4.23,4.54,3.94
Eugene Omoruyi,DET,2.6,6,43.3,46.6,16.1,0.3,0.7,1.4,0.3,0.1,0.3,83.3,16.7,0.33,1.3,1.6,2.9,6485.5,402.83,1.23,0.65,0.58,4.25,4.54,3.98
Stanley Johnson,SAS,2.7,6,45.1,47.2,15.7,0.7,1.8,0.7,0.1,0.1,0.2,50,50,0,1.5,1.1,2.6,6563.2,418.04,1.24,0.67,0.58,4.35,4.81,3.94
Daishen Nix,HOU,3,6,50.3,46.8,16,0.1,0.2,1.4,0.1,0.2,0.3,44.4,55.6,0.02,0.6,1,1.6,6075.5,379.72,1.15,0.62,0.53,4,4.23,3.76
Kessler Edwards,SAC,2.6,5.9,43.2,47.8,10.7,0.1,0.3,0.4,0.1,0.1,0.1,60,40,0.03,1.5,1.1,2.6,4491.6,419.78,0.85,0.44,0.41,4.41,4.7,4.13
Jamal Cain,MIA,3.1,5.9,52.5,45.8,13.3,0.4,1.1,1.6,0.1,0.1,0.1,50,50,0,0.5,1.3,1.8,5510,414.29,1.04,0.53,0.51,4.34,4.39,4.28
Vlatko Cancar,DEN,2.9,5.9,48.7,46.7,14.8,0.3,0.6,0.7,0.1,0,0.1,87.5,12.5,0.05,1.7,1.1,2.8,5588.2,377.58,1.06,0.58,0.48,3.99,4.26,3.7
Trent Forrest,ATL,2.6,5.9,44.6,46.4,12,0,0,0.7,0.1,0.1,0.3,50,50,0.04,1.2,1,2.1,4772,397.67,0.9,0.48,0.43,4.18,4.4,3.96
Jake LaRavia,MEM,2.6,5.9,43.6,45.1,11.8,0.1,0.3,0.9,0.1,0.1,0.2,42.9,57.1,0,1.3,1.4,2.7,4908.3,415.96,0.93,0.51,0.42,4.37,4.68,4.04
Lindy Waters III,OKC,2.7,5.9,45.8,46,12.9,0.3,0.7,0.6,0.1,0.2,0.3,36.4,63.6,0.02,1.8,1.6,3.3,5448.2,422.34,1.03,0.55,0.48,4.44,4.92,4
Kemba Walker,DAL,3.3,5.9,56.6,45.4,16,0,0,0.8,0.2,0.1,0.3,66.7,33.3,0.22,0.2,1,1.2,6018.7,376.17,1.14,0.64,0.5,4.01,4.4,3.6
Ousmane Dieng,OKC,2.6,5.9,44.6,44.9,14.6,0.4,0.9,0.4,0.1,0.1,0.1,60,40,0,1.9,1.5,3.4,5879.6,402.71,1.11,0.61,0.51,4.28,4.76,3.83
Wesley Matthews,MIL,2.8,5.9,47.4,47.9,15.8,0.1,0.2,0.8,0.1,0.1,0.3,53.3,46.7,0.04,1.3,0.9,2.1,6406.9,405.50,1.21,0.66,0.56,4.27,4.6,3.92
Peyton Watson,DEN,2.9,5.8,48.7,48.6,8.1,0,0,0.3,0.1,0,0.1,66.7,33.3,0,1.4,0.5,2,3284.3,405.47,0.62,0.33,0.29,4.28,4.6,3.97
Ricky Rubio,CLE,2.6,5.8,44,45.1,17.2,0.4,1,1.8,0.1,0.1,0.2,42.9,57.1,0.12,0.9,1.1,2,6895.9,400.92,1.31,0.73,0.58,4.24,4.6,3.87
JaMychal Green,GSW,3.2,5.8,54.4,48.3,14,1.1,2.8,0.6,0.1,0.1,0.2,33.3,66.7,0,2.1,1.3,3.3,5553,396.64,1.05,0.56,0.49,4.19,4.55,3.86
John Butler Jr.,POR,2.6,5.8,44.8,46.7,11.6,0.2,0.4,0.8,0.1,0.1,0.2,33.3,66.7,0,2.2,1.2,3.3,4091.3,352.70,0.77,0.4,0.37,4.18,4.27,4.08
Udoka Azubuike,UTA,2.6,5.8,44.9,49,10,1.3,2.9,0.3,0.1,0.1,0.1,40,60,0,2.8,0.4,3.1,3713.5,371.35,0.7,0.37,0.34,3.92,4.11,3.74
Derrick Jones Jr.,CHI,2.4,5.8,41.8,47.5,14,0.7,1.5,1,0.2,0.1,0.3,52.6,47.4,0,1.9,1.4,3.3,5676.5,405.46,1.08,0.56,0.52,4.3,4.69,3.97
Jaden Hardy,DAL,2.8,5.8,48.1,46,14.8,0.1,0.3,0.7,0.1,0.1,0.3,46.2,53.8,0.06,0.8,1.2,2,5937.5,401.18,1.12,0.61,0.52,4.25,4.5,4
Danuel House Jr.,PHI,2.9,5.8,49.5,46.8,14.4,0.2,0.6,0.6,0.1,0.2,0.3,33.3,66.7,0.09,1.3,1.1,2.4,5888.4,408.92,1.12,0.58,0.53,4.32,4.53,4.09
Terence Davis,SAC,3,5.7,52,47,13.1,0,0.1,1.3,0.1,0.2,0.3,38.1,61.9,0.02,1,1,2,5468.9,417.47,1.04,0.54,0.5,4.4,4.76,4.07
Rudy Gay,UTA,2.6,5.7,45.5,47.8,14.6,0.5,1.1,0.7,0.2,0.1,0.3,55.6,44.4,0.04,1.4,0.9,2.4,5682.8,389.23,1.08,0.58,0.5,4.11,4.38,3.82
Oshae Brissett,IND,2.8,5.6,49.6,47,16.7,0.3,0.7,1,0.2,0.3,0.5,43.3,56.7,0.06,1.2,0.9,2,6812.1,407.91,1.29,0.69,0.6,4.31,4.69,3.95
Goga Bitadze,ORL,2.5,5.6,44.8,49.3,12,1.8,4,1.1,0.2,0.1,0.3,72.7,27.3,0,2.5,0.9,3.3,4735.7,394.64,0.9,0.47,0.42,4.15,4.51,3.82
Johnny Davis,WAS,2.5,5.6,45.2,46.2,15.1,0.1,0.3,0.5,0.1,0.1,0.2,50,50,0,0.9,0.8,1.6,6140.3,406.64,1.16,0.63,0.54,4.29,4.53,4.02
Dru Smith,BKN,2.6,5.6,46.6,48.3,10.6,0,0,1.5,0.1,0.1,0.2,33.3,66.7,0.07,1.1,0.9,2,4114.4,388.15,0.78,0.41,0.37,4.13,4.45,3.82
Duane Washington Jr.,NYK,2.6,5.6,46.5,45.6,12.7,0.2,0.3,0.2,0.1,0,0.1,75,25,0.03,0.8,0.8,1.6,5208.3,410.10,0.99,0.55,0.43,4.32,4.78,3.86
Dewayne Dedmon,PHI,2.6,5.6,46.9,50.2,11.2,1.4,3.3,0.4,0.1,0.1,0.2,44.4,55.6,0.05,2.8,0.8,3.5,4220.9,376.87,0.8,0.44,0.36,3.98,4.2,3.73
Cedi Osman,CLE,2.4,5.6,42.6,45.8,20.1,0.3,0.6,0.8,0.1,0.1,0.2,50,50,0.06,1.4,1.1,2.5,7817.1,388.91,1.48,0.79,0.69,4.1,4.25,3.94
Kevin Knox II,POR,2.6,5.6,45.9,46.4,15.1,0.2,0.5,0.6,0.2,0.2,0.4,52,48,0,1.4,1.2,2.6,6070,401.99,1.15,0.63,0.52,4.28,4.65,3.91
Luka Garza,MIN,3.1,5.6,55.2,49.6,8.7,1.3,2.9,0.2,0.1,0,0.1,100,0,0.04,2.4,0.4,2.7,3854.5,443.05,0.73,0.39,0.34,4.61,4.91,4.3
Aaron Holiday,ATL,2.6,5.5,46.2,46,13.4,0,0.1,1.1,0.1,0.2,0.3,44.4,55.6,0,0.9,0.9,1.8,5413.9,404.02,1.03,0.52,0.5,4.27,4.35,4.18
MarJon Beauchamp,MIL,2.5,5.5,45.5,45.5,13.5,0.1,0.2,0.6,0.2,0.1,0.3,69.2,30.8,0,1.1,0.9,2,5516.6,408.64,1.04,0.55,0.49,4.33,4.52,4.13
Payton Pritchard,BOS,2.4,5.5,44,45.5,13.4,0.2,0.4,0.7,0.3,0.1,0.4,65,35,0,1.4,0.5,1.9,5443.6,406.24,1.03,0.56,0.47,4.31,4.58,4.03
Will Barton,TOR,3,5.5,55.1,46.9,17.7,0,0.1,1.1,0.2,0.2,0.4,45,55,0,0.9,1,1.8,6913.8,390.61,1.31,0.71,0.6,4.12,4.43,3.8
Caleb Houstan,ORL,2.6,5.5,46.8,47,15.9,0.3,0.8,0.6,0.1,0.1,0.2,45.5,54.5,0,1.6,1.1,2.6,6614,415.97,1.25,0.68,0.57,4.38,4.73,4.03
Anthony Gill,WAS,2.7,5.5,49.6,47.7,10.6,0.5,1.3,0.4,0.1,0.1,0.2,63.6,36.4,0.07,1.2,1,2.3,4322.9,407.82,0.82,0.45,0.37,4.29,4.6,3.97
